name,orbit,orbit_period,star_brightness,star_temp,temp,radius_e,mass_e,density,discovered
HD 142022 A b,2.93,1928,7.7,5421,,,1411.1652,,2005
pi Men c,0.06839,6.2679,5.67,6037,1170,2.042,4.82,2.97,2018
HD 39091 b,3.1,2093.07,5.67,6037,,,3184.6566,,2001
HD 137388 b,0.89,330,8.696,5181,,,63.566,,2011
GJ 3021 b,0.49,133.71,6.59,5540,350,,1071.04,,2000
HD 63454 b,0.04,2.81805,9.37,4812,,,79.4575,,2005
HD 212301 b,0.03,2.24571,7.764,6239,,,162.0933,,2005
HD 97048 b,130,,8.447,10000,,,794.575,,2019
CHXR 73 b,210,,,,,,3994.486,,2006
HD 221420 b,18.5,22482,5.81,5830,,,3082.951,,2019
TOI-157 b,0.03138,2.0845435,12.73,5404,1588,14.415,375.0394,0.686,2020
CT Cha b,440,,,,2600,24.66,5403,,2007
HD 2685 b,0.0568,4.12688,,6801,2061,16.141,371.8611,,2019
HD 196067 b,5.02,3638,6.03,6017,,,2192.9,,2012
TOI-169 b,0.03524,2.2554477,12.36,5880,1715,12.173,251.40353,0.76,2020
HD 68402 b,2.18,1103,9.11,5950,,,975.7381,,2016
HD 38283 b,1.02,363.20001,6.696,5981,,,127.132,,2010
TOI-150.01,0.07037,5.857487,,6255,1405,14.067,797.7533,1.68,2019
HD 131664 b,3.17,1951,8.128,5892,,,6076.9096,,2008
DMPP-3 A b,0.0662,6.6732,9.066,5138,854,,2.58,,2019
HD 20003 c,0.1964,33.9239,8.39,5494,,,14.44,,2019
HD 20003 b,0.0974,11.8482,8.39,5494,,,11.66,,2019
TOI-163 b,0.058,4.231306,,6495,1669,16.69,387.7526,0.49,2019
HD 108341 b,2,1129,9.36,5122,,,1112.4,,2014
HD 222076 b,1.83,871,7.459,4806,,,495.8148,,2016
HD 100546 b,53,,6.704,10500,,77.342,,,2014
WASP-91 b,0.037,2.798581,12,4920,1160,11.545,425.8922,1.59,2017
HD 216437 b,2.497,1334.28,6.057,5909,,,706.53609,,2002
HD 24085 b,0.034,2.0455,7.564,6034,,,11.8,,2019
HD 175167 b,2.4,1290,8.01,5635,,,2850.9351,,2009
WASP-126 c,,7.63,10.8,5800,,,64.2,,2019
WASP-126 b,,3.28883,10.8,5800,,,90.3,,2016
DS Tuc A b,,8.138268,8.469,5428,850,5.7,,,2019
LHS 3844 b,0.00622,0.46292913,15.26,3036,805,1.303,,,2019
HD 129445 b,2.9,1840,8.8,,,,508.507,,2009
HD 95086 b,55.7,,7.36,,1000,,1589,,2013
HD 111232 b,1.97,1143,7.59,5512,,,2269.3062,,2003
L 98-59 c,0.0317,3.6904,11.685,3412,517,1.35,2.42,5.4,2019
L 98-59 b,0.02282,2.2531,11.685,3412,610,0.8,1.01,12.7,2019
L 98-59 d,0.0506,7.4512,11.685,3412,409,1.57,2.31,3.3,2019
HD 11977 b,1.93,711,4.69,4970,,,2080,,2005
HD 76920 b,1.149,415.4,7.817,4698,,,1249.0719,,2017
HD 76700 b,0.05,3.97097,8.155,5644,,,66.7443,,2002
TOI-125 d,0.137,19.98,10.892,5320,638,2.93,13.6,2.98,2020
TOI-125 c,0.0814,9.15059,10.892,5320,828,2.759,6.63,1.73,2019
TOI-125 b,0.05186,4.65382,10.892,5320,1037,2.726,9.5,2.57,2019
POTS-1 b,0.03734,3.1606296,17.94,4400,,10.548,734.16,,2013
HD 181433 d,3,2172,8.4,4918,,,171,,2008
HD 181433 b,0.08,9.3743,8.4,4918,,,6.3566,,2008
HD 181433 c,1.76,962,8.4,4918,,,203,,2008
HD 1397 b,0.1097,11.53533,7.781,5521,1228,11.5,131.89945,0.477,2018
WD 0806-661 b,2500,,,,323,,2383.6,,2011
HD 175607 b,,29.01,8.61,5392,,,8.98,,2015
HD 7199 b,1.36,615,8.027,5371,,,85.8141,,2011
MASCARA-4 b,0.047,2.82406,8.19,7800,2100,17.15,985.273,,2020
HD 4308 b,0.12,15.56,6.56,5686,,,15.8915,,2005
HIP 63242 b,0.565,124.6,6.871,4830,,,2917.56,,2013
TOI-700 b,0.0677,9.97702,13.072,3461,417,1.037,,,2020
TOI-700 c,0.0929,16.05111,13.072,3461,356,2.65,,,2020
TOI-700 d,0.1633,37.42475,13.072,3461,269,1.144,,,2020
WASP-119 b,0.0363,2.49979,12.2,5650,1600,15.693,390.9309,0.7,2016
HD 25171 b,2.971,1802.29,7.782,6125,,,290.81445,,2010
TYC 8998-760-1 c,320,,11.13,,1240,12.33,1906.98,,2020
TYC 8998-760-1 b,162,,11.13,,,,4449.62,,2020
HIP 107773 b,0.72,144.3,5.62,4945,,,629.3034,,2015
HD 190984 b,5.5,4885,8.76,5988,,,985.2,,2009
TOI-837 b,,8.3248762,10.635,6047,,8.631,381.396,,2020
WASP-100 b,,2.84938,,6900,,14.908,400.4658,,2014
HD 108147 b,0.102,10.8985,6.995,6265,,,82.95,,2002
WASP-62 b,,4.41195,10.3,6230,,14.796,165.2716,,2012
HD 65216 b,1.301,577.6,7.964,5612,,,411.58985,,2003
HD 65216 c,5.75,5370,7.964,5612,,,645.1949,,2013
HATS-35 b,0.03199,1.8209993,12.56,6300,2037,16.41,388.38826,0.484,2016
HD 21749 c,0.0695,7.78993,7.87,4640,701,0.892,3.7,31.93,2019
GJ 143 b,0.1915,35.61253,7.87,4640,422,2.61,22.7,7,2019
TOI-216.02,0.1293,17.089,12.324,5026,628,7.69,30,0.34,2019
TOI-216.01,0.2069,34.556,12.324,5026,497,11.29,200,0.76,2019
HD 23472 b,0.121,17.667,9.724,,,1.872,17.92,,2019
HD 23472 c,0.17,29.625,9.724,,,2.149,17.18,,2019
HD 219077 b,6.22,5501,6.12,5362,,,3302.11,,2012
Proxima Cen b,0.0485,11.186,11.11,3050,234,,1.27,,2016
HATS-34 b,0.03166,2.1061607,13.849,5380,1445,16.029,299.07803,0.4,2016
OGLE-TR-211 b,0.051,3.67724,,6325,,15.244,327.351,,2007
OGLE-TR-132 b,0.03035,1.689868,15.72,6210,2013,13.45,375.02,0.85,2004
HATS-71 b,0.03745,3.7955202,,3405,587,11.478,117.5971,0.42,2020
HATS-24 b,0.0238,1.3484978,12.83,6125,2166,15.637,718.2958,1.03,2017
HD 147018 b,0.2388,44.236,8.3,5441,,,674,,2009
HD 147018 c,1.922,1008,8.3,5441,,,2080,,2009
HD 224538 b,2.28,1189.1,8.06,6097,,,1897.4451,,2016
OGLE-TR-113 b,0.02289,1.4324752,14.42,4790,,12.251,400.449,1.2,2004
HD 134060 b,0.0444,3.2696,6.29,5966,,,10.1,,2019
HD 134060 c,2.3928,1291.5646,6.29,5966,,,29.29,,2019
OGLE-TR-111 b,0.0473,4.0144463,15.55,5040,,11.422,,,2004
OGLE2-TR-L9 b,0.0308,2.4855335,,6933,,18.046,1430.175,,2008
OGLE-TR-182 b,0.051,3.9791,,5924,,12.666,320.995,,2007
TOI-813 b,0.423,83.8911,10.322,5907,610,6.71,,,2020
HATS-69 b,0.03211,2.2252577,13.945,5137,1296,10.593,183.38791,0.46,2018
TIC 237913194 b,0.1207,15.168865,12.144,5788,974,12.52,617.22586,1.847,2020
HD 196050 b,2.51,1378,7.5,5879,,,1010.6994,,2002
HD 10180 h,3.381,2205,7.321,5911,,,65.66368,,2010
HD 10180 g,1.427,604.67,7.321,5911,,,23.26516,,2010
HD 10180 f,0.4929,122.744,7.321,5911,,,22.94733,,2010
HD 10180 e,0.2699,49.748,7.321,5911,,,25.58532,,2010
HD 10180 d,0.12859,16.357,7.321,5911,,,12.01397,,2010
HD 10180 c,0.06412,5.75969,7.321,5911,,,13.22173,,2010
WASP-164 b,0.02818,1.7771255,,5806,1610,12.644,676.9779,1.96,2018
HR 2562 b,20.3,,6.11,,1200,12.442,9534.9,,2016
HD 142415 b,1.06,386.29999,7.327,5940,,,530.7761,,2003
HD 23127 b,2.37,1211.17,8.576,5843,,,485.32641,,2006
L 168-9 b,0.02091,1.4015,11.014,3800,965,1.39,4.6,9.6,2020
HD 40307 b,0.0468,4.3123,7.17,4956,,,4,,2009
HD 40307 c,0.0799,9.6184,7.17,4956,,,6.6,,2009
HD 40307 g,0.6,197.8,7.17,4956,,,7.1,,2013
HD 40307 f,0.247,51.76,7.17,4956,,,5.2,,2013
HD 40307 d,0.1321,20.432,7.17,4956,,,9.5,,2009
HATS-30 b,0.04354,3.1743516,12.192,5943,1414,13.171,224.38798,0.543,2016
HD 213885 b,0.02012,1.008035,7.996,5978,2128,1.745,8.83,9.15,2019
HD 213885 c,0.056798,4.78503,7.996,5978,1265,,19.95,,2019
HATS-48 A b,0.03769,3.1316666,14.35,4546,955,8.967,77.23269,0.589,2020
TOI-1338 b,0.4607,95.174,11.72,6050,,6.85,33,0.56,2020
HD 27894 d,5.448,5174,9.349,,,,1721.04945,,2017
HD 27894 c,0.198,36.07,9.349,,,,51.48846,,2017
HD 27894 b,0.125,18.02,9.349,,,,211.35695,,2005
HD 27442 b,1.271,428.1,4.44,4846,,,495.8,,2000
TOI-122 b,0.0392,5.07803,,3403,471,2.72,,,2020
HATS-68 b,0.05071,3.5862202,12.276,6147,1741,13.809,410.0007,0.856,2018
WASP-145 A b,0.0261,1.7690381,,4900,1200,10.088,282.8687,1.6,2018
HD 102117 b,0.15,20.8133,7.47,5655,,,54.0311,,2005
HIP 65891 b,2.81,1084.5,6.75,5000,,,1906.98,,2015
HD 21693 b,0.1455,22.6786,7.95,5430,,,8.23,,2019
HD 21693 c,0.2586,53.7357,7.95,5430,,,17.37,,2019
HD 221287 b,1.25,456.1,7.807,6304,,,982.05,,2007
WASP-73 b,,4.08722,10.5,6030,,15.917,908.9938,,2014
AB Pic b,260,,9.128,,,,4290.5,,2005
HD 30177 b,3.704,2527.83,8.397,5607,,,2740.33026,,2002
HD 30177 c,9.89,11613,8.397,5607,,,2415.508,,2016
HD 101930 b,0.3,70.46,8.21,5108,,,79.4575,,2005
TOI-824 b,0.02177,1.392978,11.153,4600,1253,2.926,18.467,4.03,2020
GJ 422 b,0.111,20.129,11.55,,,,11.07,,2014
TOI-481 b,0.097,10.33111,10.04,5735,1370,11.097,486.2799,,2020
HD 219666 b,0.06356,6.03607,,5527,1073,4.71,16.6,0.87,2018
eps Ind A b,11.55,16510,4.69,,,,1032.9475,,2019
HD 154857 b,1.29,408.60001,7.238,5589,,,778.6835,,2004
HD 154857 c,5.36,3452,7.238,5589,,,819.97,,2014
HD 2039 b,2.2,1120,9,5945,,,1999.1507,,2002
HD 95338 b,0.262,55.087,8.611,5212,385,3.89,42.44,3.98,2020
HD 215497 c,1.282,567.94,8.96,5110,,,104.3,,2009
HD 215497 b,0.05,3.93404,8.96,5110,,,6.3566,,2009
GJ 1252 b,0.00916,0.5182349,12.193,3458,1089,1.193,2.09,,2020
HD 154672 b,0.6,163.94,8.21,5743,,,1706.7471,,2008
HATS-49 b,0.04515,4.1480467,14.998,4405,835,8.575,112.19399,0.986,2020
HATS-46 b,0.05367,4.7423729,13.634,5495,1054,10.122,54.98459,0.28,2018
HD 121504 b,0.33,63.33,7.517,6027,,,479.9233,,2003
HD 106906 b,650,,7.797,6516,1800,,3496,,2013
WASP-46 b,0.02335,1.43036763,12.9,5600,1636,13.159,607.0553,1.467,2011
WASP-97 b,,2.07276,,5640,,12.778,432.2488,,2014
HATS-33 b,0.03727,2.5495551,11.911,5659,1429,13.787,378.85336,0.79,2016
LHS 1815 b,0.0404,3.81433,12.15,3643,617,1.088,8.7,,2020
2MASS J01033563-5515561 AB b,84,,,,,,4131.79,,2013
HD 51608 b,0.1059,14.0726,8.17,5358,,,12.77,,2019
HD 51608 c,0.3809,95.9446,8.17,5358,,,14.31,,2019
HATS-29 b,0.05475,4.6058749,12.612,5670,1212,14.022,207.54299,0.411,2016
HIP 65 A b,0.01782,0.9809734,11.13,4590,1411,22.754,1021.18779,0.48,2020
HD 211970 b,0.143,25.201,8.99,4127,,,13,,2019
HIP 8541 b,2.8,1560.2,7.88,4670,,,1748.065,,2016
HD 63765 b,0.94,358,8.1,5449,,,168.4499,,2009
GJ 3082 b,0.079,11.949,11.077,,,,8.2,,2020
HD 10647 b,2.015,989.2,5.52,6218,,,298.75,,2006
GJ 163 d,1.0304,603.95116,11.81,3500,,,29.4,,2013
GJ 163 b,0.0607,8.63182,11.81,3500,,,10.6,,2013
GJ 163 c,0.1254,25.63058,11.81,3500,,,6.8,,2013
HD 23079 b,1.6,730.59998,7.12,5974,,,829.5363,,2001
WASP-87 b,0.02946,1.682795,,6450,,15.524,692.8694,,2016
