row,pl_name,st_name,st_num,pl_num,dis_met,dis_year,dis_loc,dic_fac,pl_orbper,pl_orb,pl_rade,pl_radj,pl_masse,pl_massj,pl_temp,st_spectype,st_temp,st_rad,st_mass,glat,glon,sy_dist,habit
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Ground,Xinglong Station,326.03,1.29,12.1,1.08,6165.6,19.4,,G8 III,4742,19,2.7,78.28055,264.1407,93.1846,0
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,1.09,4684.8142,14.74,,K4 III,4213,29.79,2.78,41.04441,108.719,125.321,0
3,14 And b,14 And,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,185.84,0.83,12.9,1.15,1525.5,4.8,,K0 III,4813,11,2.2,-21.05067,106.4116,75.4392,0
4,14 Her b,14 Her,1,1,Radial Velocity,2002,Ground,W. M. Keck Observatory,1773.40002,2.93,12.9,1.15,1481.0878,4.66,,K0 V,5338,0.93,0.9,46.94491,69.17043,17.9323,0
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Ground,Multiple Observatories,798.5,1.66,13.5,1.2,565.7374,1.78,,G2.5 V,5750,1.13,1.08,13.20426,83.33649,21.1397,0
6,18 Del b,18 Del,2,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,993.3,2.6,12.5,1.11,3273.5,10.3,,G6 III,4979,8.5,2.3,-21.97489,58.69147,76.222,0
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Ground,Gemini Observatory,,330,18.647,1.664,3000,8,1700,K7 V,4060,1.31,0.85,22.03035,352.8906,139.135,0
8,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,30.3506,0.19,13.9,1.24,289.2253,0.91,,G3 IV,4893,10.64,0.99,60.64358,90.16227,95.9863,0
9,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Ground,Lick Observatory,452.8,1.333,13.4,1.19,632.46,1.99,,,5098,4.9,1.54,44.7157,245.0853,72.0691,0
10,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Ground,Lick Observatory,883,2.08,13.9,1.24,273.32,0.86,,,5098,4.9,1.54,44.7157,245.0853,72.0691,0
11,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Ground,Paranal Observatory,,84,12.3,1.1,4131.79,13,,M5.5/M6,,,0.19,-61.77612,299.2698,47.2,0
12,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,Ground,W. M. Keck Observatory,,52,11.209,1,7786.5,24.5,1600,M3.5 V,3530,0.37,0.4,-82.52019,195.4486,33.8281,0
13,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,,156,16.141,1.44,4417.837,13.9,,M6,3064,0.28,0.11,-67.98402,252.4534,40.0896412,0
14,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Space,Hubble Space Telescope,,15,12.6,1.13,2383.6,7.5,,M8.5,,,0.02,-15.11435,176.5106,120.423987,0
15,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Ground,Paranal Observatory,,46,13,1.16,1271,4,1150,M8,2825,0.22,0.19,22.54324,293.7904,64.308,0
16,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,Space,Kepler,416,0.92,13.4,1.2,603.877,1.9,,,,,0.48,11.67429,79.01876,396.332,0
17,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,Ground,W. M. Keck Observatory,7336.5,,10.31,0.92,6657.48,20.95,2075,M8.5,2300,0.12,0.08,-26.43736,70.48455,33.1156898,0
18,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,Ground,W. M. Keck Observatory,,230,12.3,1.1,3972.875,12.5,,K7 V,4045,,0.6,-9.108981,100.7483,69.5737,0
19,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,335.10001,0.99,12.3,1.1,4392.4106,13.82,,F6 V,6331,1.41,1.93,-32.30954,151.4761,44.657,0
20,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,269.3,0.87,12.7,1.13,2256.5,7.1,,K1 III,4415,18.11,1.23,35.95683,151.3589,73.4603,0
21,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,479.1,1.19,13,1.16,1233.13,3.88,,K1.5 III,4200,22.03,0.98,27.1255,95.41918,90.6545,0
22,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Ground,Lick Observatory,1078,2.1,13.2,1.18,804.08,2.53,,G1 V,5872,1.21,1.06,63.36906,175.7824,13.7967,0
23,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Ground,Lick Observatory,2391,3.6,14.2,1.27,171.621,0.54,,G1 V,5872,1.21,1.06,63.36906,175.7824,13.7967,0
24,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Ground,Lick Observatory,14002,11.6,13.5,1.2,521.22,1.64,,,5872,1.21,1.06,63.36906,175.7824,13.7967,0
25,51 Eri b,51 Eri,3,1,Imaging,2015,Ground,Gemini Observatory,11688,12,13.4,1.19,635.66,2,700,F0 IV,7295,1.49,1.65,-30.65766,198.6126,29.7575,0
26,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Ground,Haute-Provence Observatory,4.230785,0.0527,14.3,1.27,146.2018,0.46,,,5758,1.18,1.03,-34.72726,90.06264,15.4614,0
27,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,14.65152,0.115227,13.9,1.24,263.9785,0.8306,700,G8 V,5250,0.96,0.95,37.6989,196.7947,12.5855,0
28,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,44.4175,0.241376,8.51,0.76,54.4738,0.1714,,,5250,0.96,0.95,37.6989,196.7947,12.5855,0
29,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,4825,5.503,13,1.16,1232.493,3.878,,G8 V,5250,0.96,0.95,37.6989,196.7947,12.5855,0
30,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,0.736539,0.01544,1.91,0.17,8.08,0.02542,1958,G8 V,5250,0.96,0.9,37.6989,196.7947,12.5855,0
31,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,262,0.788,7.59,0.677,44.812,0.141,,,5250,0.96,0.95,37.6989,196.7947,12.5855,0
32,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,934.3,2.11,13.4,1.19,638.8383,2.01,,K0 IV,4938,5.2,1.44,20.18979,156.9714,54.6599,0
33,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,4.215,0.050201,2.11,0.188,5.1,0.016,,G5 V,5577,0.96,0.94,44.09261,311.8591,8.50332,0
34,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,38.021,0.2175,4.46,0.398,18.2,0.057,,G5 V,5577,0.96,0.94,44.09261,311.8591,8.50332,0
35,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,123.01,0.476,5.11,0.456,22.9,0.072,,G5 V,5577,0.96,0.94,44.09261,311.8591,8.50332,0
